"run_time","ram_total_gb","ram_sticks_gb","ram_speed_mts","rep","tool","model","test","threads","prompt_tokens","gen_tokens","prompt_tps","gen_tps","cli_args"
"2026-07-10 20:00:38","128","16+16+16+16+16+16+16+16","8000","1","llama-cli","Qwen3.6-27B-UD-Q4_K_XL","rocm-qwen3.6-27b-mtp","16","512","32","46.800000","27.100000","-m C:\Users\matt\.lmstudio\models\unsloth\Qwen3.6-27B-MTP-GGUF\Qwen3.6-27B-UD-Q4_K_XL.gguf -p Repeat exactly this line once and stop. -n 32 --keep 0 -c 512 -t 16 --no-warmup --simple-io --single-turn --no-display-prompt -dev ROCm0 -ngl -1 -fa on --spec-type draft-mtp --spec-draft-n-max 4"
"2026-07-10 20:02:37","128","16+16+16+16+16+16+16+16","8000","1","llama-cli","Qwen3.6-27B-UD-Q4_K_XL","rocm-qwen3.6-27b-mtp","16","512","128","44.800000","23.200000","-m C:\Users\matt\.lmstudio\models\unsloth\Qwen3.6-27B-MTP-GGUF\Qwen3.6-27B-UD-Q4_K_XL.gguf -p Repeat exactly this line once and stop. -n 128 --keep 0 -c 512 -t 16 --no-warmup --simple-io --single-turn --no-display-prompt -dev ROCm0 -ngl -1 -fa on --spec-type draft-mtp --spec-draft-n-max 4"
"2026-07-10 20:02:37","128","16+16+16+16+16+16+16+16","8000","2","llama-cli","Qwen3.6-27B-UD-Q4_K_XL","rocm-qwen3.6-27b-mtp","16","512","128","44.100000","23.200000","-m C:\Users\matt\.lmstudio\models\unsloth\Qwen3.6-27B-MTP-GGUF\Qwen3.6-27B-UD-Q4_K_XL.gguf -p Repeat exactly this line once and stop. -n 128 --keep 0 -c 512 -t 16 --no-warmup --simple-io --single-turn --no-display-prompt -dev ROCm0 -ngl -1 -fa on --spec-type draft-mtp --spec-draft-n-max 4"
"2026-07-10 20:02:37","128","16+16+16+16+16+16+16+16","8000","3","llama-cli","Qwen3.6-27B-UD-Q4_K_XL","rocm-qwen3.6-27b-mtp","16","512","128","45.700000","23.900000","-m C:\Users\matt\.lmstudio\models\unsloth\Qwen3.6-27B-MTP-GGUF\Qwen3.6-27B-UD-Q4_K_XL.gguf -p Repeat exactly this line once and stop. -n 128 --keep 0 -c 512 -t 16 --no-warmup --simple-io --single-turn --no-display-prompt -dev ROCm0 -ngl -1 -fa on --spec-type draft-mtp --spec-draft-n-max 4"
"2026-07-10 20:23:16","128","16+16+16+16+16+16+16+16","8000","1","llama-cli","Qwen3.6-27B-UD-Q4_K_XL","rocm-qwen3.6-27b-mtp","16","512","128","46.600000","24.300000","-m C:\Users\matt\.lmstudio\models\unsloth\Qwen3.6-27B-MTP-GGUF\Qwen3.6-27B-UD-Q4_K_XL.gguf -p Repeat exactly this line once and stop. -n 128 --keep 0 -c 512 -t 16 --no-warmup --simple-io --single-turn --no-display-prompt -dev ROCm0 -ngl -1 -fa on --spec-type draft-mtp --spec-draft-n-max 4"
"2026-07-10 20:23:16","128","16+16+16+16+16+16+16+16","8000","2","llama-cli","Qwen3.6-27B-UD-Q4_K_XL","rocm-qwen3.6-27b-mtp","16","512","128","49.200000","25.900000","-m C:\Users\matt\.lmstudio\models\unsloth\Qwen3.6-27B-MTP-GGUF\Qwen3.6-27B-UD-Q4_K_XL.gguf -p Repeat exactly this line once and stop. -n 128 --keep 0 -c 512 -t 16 --no-warmup --simple-io --single-turn --no-display-prompt -dev ROCm0 -ngl -1 -fa on --spec-type draft-mtp --spec-draft-n-max 4"
"2026-07-10 20:23:16","128","16+16+16+16+16+16+16+16","8000","3","llama-cli","Qwen3.6-27B-UD-Q4_K_XL","rocm-qwen3.6-27b-mtp","16","512","128","49.900000","25.100000","-m C:\Users\matt\.lmstudio\models\unsloth\Qwen3.6-27B-MTP-GGUF\Qwen3.6-27B-UD-Q4_K_XL.gguf -p Repeat exactly this line once and stop. -n 128 --keep 0 -c 512 -t 16 --no-warmup --simple-io --single-turn --no-display-prompt -dev ROCm0 -ngl -1 -fa on --spec-type draft-mtp --spec-draft-n-max 4"
"2026-07-12 08:37:25","128","16+16+16+16+16+16+16+16","8000","1","llama-cli","Qwen3.6-27B-UD-Q4_K_XL","rocm-qwen3.6-27b-mtp","16","512","128","36.700000","24.900000","-m C:\Users\matt\.lmstudio\models\unsloth\Qwen3.6-27B-MTP-GGUF\Qwen3.6-27B-UD-Q4_K_XL.gguf -p Repeat exactly this line once and stop. -n 128 --keep 0 -c 512 -t 16 --no-warmup --simple-io --single-turn --no-display-prompt -dev ROCm0 -ngl -1 -fa on --spec-type draft-mtp --spec-draft-n-max 4"
"2026-07-12 08:37:25","128","16+16+16+16+16+16+16+16","8000","2","llama-cli","Qwen3.6-27B-UD-Q4_K_XL","rocm-qwen3.6-27b-mtp","16","512","128","38.900000","25.800000","-m C:\Users\matt\.lmstudio\models\unsloth\Qwen3.6-27B-MTP-GGUF\Qwen3.6-27B-UD-Q4_K_XL.gguf -p Repeat exactly this line once and stop. -n 128 --keep 0 -c 512 -t 16 --no-warmup --simple-io --single-turn --no-display-prompt -dev ROCm0 -ngl -1 -fa on --spec-type draft-mtp --spec-draft-n-max 4"
"2026-07-12 08:37:25","128","16+16+16+16+16+16+16+16","8000","3","llama-cli","Qwen3.6-27B-UD-Q4_K_XL","rocm-qwen3.6-27b-mtp","16","512","128","40.900000","24.200000","-m C:\Users\matt\.lmstudio\models\unsloth\Qwen3.6-27B-MTP-GGUF\Qwen3.6-27B-UD-Q4_K_XL.gguf -p Repeat exactly this line once and stop. -n 128 --keep 0 -c 512 -t 16 --no-warmup --simple-io --single-turn --no-display-prompt -dev ROCm0 -ngl -1 -fa on --spec-type draft-mtp --spec-draft-n-max 4"
